We,I,was,went,had,because ,Psycho 
2,24,14,2,3,2,1
1,75,38,0,2,5,1
6,135,29,2,14,6,1
2,10,3,0,4,1,1
3,30,4,1,0,2,1
4,11,13,1,4,1,1
1,28,9,0,1,3,1
1,18,14,2,0,0,1
2,30,16,0,3,0,1
2,50,18,1,5,2,1
1,70,30,0,3,5,1
2,65,9,0,0,1,1
2,117,15,0,9,1,1
3,80,6,4,0,4,1
4,70,10,6,12,0,1
1,39,21,0,10,6,1
1,48,14,1,1,0,1
2,43,19,0,2,0,1
2,10,1,0,2,0,0
1,11,3,0,1,10,0
2,8,9,0,1,0,0
2,9,1,0,3,1,0
3,8,6,1,0,21,0
4,10,1,0,0,1,0
1,7,3,0,0,0,0
1,10,4,0,3,0,0
2,7,9,1,0,0,0
2,4,8,1,5,2,0
1,9,3,0,6,5,0
2,8,9,0,0,6,0
2,10,1,0,9,1,0
3,2,6,1,0,2,0
4,1,1,1,7,1,0
1,0,2,0,5,3,0
1,12,5,1,1,0,0
2,10,8,0,0,0,0
